Username,Konten,Lokasi
VikohRofikoh,"Sebelumnya, Wakil Gubernur Jawa Barat Uu Ruzhanul Ulum mengaku telah mendapat restu dari Ridwan Kamil terkait keinginannya maju sebagai calon gubernur Jabar. Hal itu berlaku jika Ridwan Kamil ikut Pilpres 2024.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Sejumlah calon mulai bermunculan meramaikan Pilkada Jawa Barat 2024. Salah satu yang santer dibicarakan Wakil Gubernur Jawa Barat Uu Ruzhanul Ulum.
#BersamaJuara 
Ridwan Kamil","Central Borneo,Indonesia"
VikohRofikoh,"""Jadi kalau bahasanya jadi kata restu, saya kira itu mah pilihan wartawan saja memilih kata-katanya. Tapi bahasa saya adalah mendoakan semua yang mempunyai maksud Allah permudah urusannya termasuk kepada istri saya,"" tutur Ridwan Kamil.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Gubernur Jawa Barat Ridwan Kamil belum memutuskan kiprah politiknya ke depan. Untuk diketahui, Jabatan pria yang akrab disapa Emil itu akan berakhir 5 September 2023.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Pilkada Jabar, Ridwan Kamil: Semua Saya Doakan
#BersamaJuara https://t.co/VsVJEA5Ver","Central Borneo,Indonesia"
VikohRofikoh,"""Saya kepada semua orang yang ingin maju menjadi gubernur Jabar saya bilang saya doakan apapun niat dan maksudnya Allah permudah, itu kalimat saya,"" kata Emil (Ridwan Kamil).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Selain belum menentukan langkah politiknya, Emil (Ridwan Kamil) mengaku belum memutuskan sosok yang ia dukung untuk Pilkada Jabar.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Sejumlah calon mulai bermunculan meramaikan Pilkada Jawa Barat 2024. Salah satu yang santer dibicarakan Wakil Gubernur Jawa Barat Uu Ruzhanul Ulum.
#BersamaJuara 
Ridwan Kamil","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Gubernur Jawa Barat Ridwan Kamil belum memutuskan kiprah politiknya ke depan. Untuk diketahui, Jabatan pria yang akrab disapa Emil itu akan berakhir 5 September 2023.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Pilkada Jabar, Ridwan Kamil: Semua Saya Doakan
#BersamaJuara https://t.co/yXs0fAalJi","Brebes, Jawa Tengah Indonesia"
